Sex,Height,Weight,Class
Male,1.62,65,normal
Female,1.82,71,normal
Female,1.55,96,overweight
Male,1.46,78,overweight
Female,1.76,61,normal
Female,1.62,54,normal
Female,1.67,76,overweight
Female,1.8,59,underweight
Male,1.53,55,normal
Male,1.75,91,overweight
Male,1.78,67,normal
Female,1.47,44,normal
Female,1.64,95,overweight
Male,1.67,79,overweight
Female,1.88,65,underweight
Male,1.51,65,overweight
Male,1.59,74,overweight
Female,1.87,93,overweight
Female,1.8,54,underweight
Female,1.78,96,overweight
Male,1.51,55,normal
Female,1.78,41,underweight
Male,1.81,96,overweight
Male,1.51,50,normal
Female,1.55,40,underweight
Male,1.69,48,underweight
Male,1.84,70,normal
Female,1.68,98,overweight
Female,1.8,76,normal
Male,1.72,64,normal
Female,1.74,47,underweight
Male,1.5,66,overweight
Female,1.88,80,normal
Female,1.64,56,normal
Male,1.45,42,normal
Female,1.82,57,underweight
Female,1.55,69,overweight
Male,1.73,46,underweight
Male,1.71,81,overweight
Female,1.89,91,overweight
Male,1.67,57,normal
Male,1.5,50,normal
Male,1.77,86,overweight
Female,1.86,43,underweight
Male,1.47,41,normal
Female,1.5,75,overweight
Male,1.64,47,underweight
Male,1.85,84,normal
Male,1.67,75,overweight
Male,1.89,73,normal
Male,1.86,71,normal
Female,1.87,81,normal
Male,1.73,45,underweight
Female,1.79,77,normal
Male,1.83,75,normal
Female,1.75,52,underweight
Male,1.85,45,underweight
Male,1.86,89,overweight
Female,1.7,67,normal
Male,1.82,52,underweight
